AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
AMD
META
NFLX
CRM
UBER
SHOP
SQ
PLTR
SPY
QQQ
IWM
JPM
JNJ
PG
KO
XOM
CVX
BABA
