timestamp,open,high,low,close,volume
2023-01-03 05:00:00+00:00,243.08,245.75,237.4,239.58,29619534
2023-01-04 05:00:00+00:00,232.275,232.87,225.96,229.1,55137085
2023-01-05 05:00:00+00:00,227.2,227.55,221.7602,222.31,43602344
2023-01-06 05:00:00+00:00,223.0,225.7601,219.35,224.93,48614918
2023-01-09 05:00:00+00:00,226.45,231.2366,226.41,227.12,31083159
2023-01-10 05:00:00+00:00,227.755,231.31,227.33,228.85,30423858
2023-01-11 05:00:00+00:00,231.29,235.95,231.11,235.77,33167876
2023-01-12 05:00:00+00:00,235.26,239.9,233.56,238.51,30550938
2023-01-13 05:00:00+00:00,237.002,239.37,234.92,239.23,23980554
2023-01-17 05:00:00+00:00,237.97,240.91,237.09,240.35,34771039
2023-01-18 05:00:00+00:00,241.565,242.38,235.52,235.81,34211780
2023-01-19 05:00:00+00:00,233.78,235.52,230.68,231.93,32798816
2023-01-20 05:00:00+00:00,234.855,240.74,234.51,240.22,43426664
2023-01-23 05:00:00+00:00,241.1,245.165,239.65,242.58,35685742
2023-01-24 05:00:00+00:00,242.5,243.95,240.44,242.04,42385308
2023-01-25 05:00:00+00:00,234.48,243.3,230.9,240.61,69237533
2023-01-26 05:00:00+00:00,243.65,248.31,242.0,248.0,36538568
2023-01-27 05:00:00+00:00,248.99,249.83,246.83,248.16,30013694
2023-01-30 05:00:00+00:00,244.51,245.6,242.2,242.71,29072570
2023-01-31 05:00:00+00:00,243.45,247.95,242.945,247.81,32436875
2023-02-01 05:00:00+00:00,248.0,255.18,245.47,252.75,36054742
2023-02-02 05:00:00+00:00,258.82,264.69,257.25,264.6,40592625
2023-02-03 05:00:00+00:00,259.542,264.2,257.1,258.35,32695834
2023-02-06 05:00:00+00:00,257.44,258.3,254.78,256.77,25032115
2023-02-07 05:00:00+00:00,260.53,268.775,260.08,267.56,54939617
2023-02-08 05:00:00+00:00,273.2,276.76,266.21,266.73,58753972
2023-02-09 05:00:00+00:00,273.8,273.98,262.8,263.62,46112964
2023-02-10 05:00:00+00:00,261.53,264.09,260.662,263.1,28956581
2023-02-13 05:00:00+00:00,267.64,274.6,267.15,271.32,48341095
2023-02-14 05:00:00+00:00,272.67,274.97,269.28,272.17,40926147
2023-02-15 05:00:00+00:00,268.32,270.73,266.18,269.32,31706292
2023-02-16 05:00:00+00:00,264.02,266.74,261.9,262.15,33741350
2023-02-17 05:00:00+00:00,259.39,260.09,256.0,258.06,33447567
2023-02-21 05:00:00+00:00,254.48,255.49,251.59,252.67,34190867
2023-02-22 05:00:00+00:00,254.09,254.34,250.34,251.51,26297890
2023-02-23 05:00:00+00:00,255.56,256.84,250.48,254.77,32535378
2023-02-24 05:00:00+00:00,249.96,251.0,248.1,249.22,28620428
2023-02-27 05:00:00+00:00,252.46,252.82,249.39,250.16,23864108
2023-02-28 05:00:00+00:00,249.07,251.49,248.73,249.42,26152174
2023-03-01 05:00:00+00:00,250.76,250.93,245.79,246.27,31619169
2023-03-02 05:00:00+00:00,246.55,251.4,245.61,251.11,28735665
2023-03-03 05:00:00+00:00,252.19,255.62,251.39,255.29,35684701
2023-03-06 05:00:00+00:00,256.425,260.12,255.98,256.87,28207365
2023-03-07 05:00:00+00:00,256.3,257.69,253.39,254.15,24123088
2023-03-08 05:00:00+00:00,254.04,254.5417,250.81,253.7,19450823
2023-03-09 05:00:00+00:00,255.82,259.56,251.58,252.32,30200253
2023-03-10 05:00:00+00:00,251.08,252.79,247.6,248.59,31996859
2023-03-13 04:00:00+00:00,247.4,257.91,245.73,253.92,36954718
2023-03-14 04:00:00+00:00,256.75,261.07,255.86,260.79,39378537
2023-03-15 04:00:00+00:00,259.98,266.48,259.21,265.44,50898403
2023-03-16 04:00:00+00:00,265.205,276.56,263.28,276.2,60088255
2023-03-17 04:00:00+00:00,278.26,283.33,276.3201,279.43,88709971
2023-03-20 04:00:00+00:00,276.98,277.48,269.85,272.23,47384329
2023-03-21 04:00:00+00:00,274.88,275.0,269.5191,273.78,39630853
2023-03-22 04:00:00+00:00,273.4,281.04,272.18,272.29,37688258
2023-03-23 04:00:00+00:00,277.94,281.06,275.2,277.66,37057804
2023-03-24 04:00:00+00:00,277.24,280.63,275.28,280.57,31347505
2023-03-27 04:00:00+00:00,280.5,281.4589,275.52,276.38,30073276
2023-03-28 04:00:00+00:00,275.79,276.14,272.0451,275.23,24105856
2023-03-29 04:00:00+00:00,278.96,281.1398,278.41,280.51,29617592
2023-03-30 04:00:00+00:00,284.23,284.46,281.48,284.05,27457975
2023-03-31 04:00:00+00:00,283.73,289.27,283.0,288.3,33038542
2023-04-03 04:00:00+00:00,286.52,288.27,283.95,287.23,27511632
2023-04-04 04:00:00+00:00,287.23,290.4499,285.67,287.18,28756221
2023-04-05 04:00:00+00:00,285.85,287.15,282.92,284.34,24527199
2023-04-06 04:00:00+00:00,283.21,292.08,282.03,291.6,33158103
2023-04-10 04:00:00+00:00,289.208,289.6,284.71,289.39,25003020
2023-04-11 04:00:00+00:00,285.75,285.98,281.64,282.83,30042628
2023-04-12 04:00:00+00:00,284.79,287.01,281.96,283.49,27723054
2023-04-13 04:00:00+00:00,283.59,289.9,283.17,289.84,24481543
2023-04-14 04:00:00+00:00,287.0,288.48,283.69,286.14,23152824
2023-04-17 04:00:00+00:00,289.93,291.6,286.16,288.8,26656389
2023-04-18 04:00:00+00:00,291.57,291.755,287.01,288.37,23361219
2023-04-19 04:00:00+00:00,285.99,289.05,284.54,288.45,17150271
2023-04-20 04:00:00+00:00,285.25,289.03,285.08,286.11,26646612
2023-04-21 04:00:00+00:00,285.01,286.27,283.0608,285.76,25168225
2023-04-24 04:00:00+00:00,282.09,284.95,278.72,281.77,28910574
2023-04-25 04:00:00+00:00,279.51,281.6,275.37,275.42,50242043
2023-04-26 04:00:00+00:00,296.7,299.57,292.73,295.37,70241325
2023-04-27 04:00:00+00:00,295.97,305.2,295.25,304.83,46945695
2023-04-28 04:00:00+00:00,304.01,308.93,303.31,307.26,36820152
2023-05-01 04:00:00+00:00,306.97,308.6,305.15,305.56,23852134
2023-05-02 04:00:00+00:00,307.76,309.18,303.91,305.41,26788203
2023-05-03 04:00:00+00:00,306.62,308.61,304.09,304.4,25292234
